source_file,date,description,amount,suggested_category,confidence,reason
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-27,TST*TIN BUILDING QSRS New York NY,16.05,Uncategorized,0.3877965807914734,Low similarity (best=0.388)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-28,CLR*ClubPilates6462895099 646-2895099 NY,25.0,Uncategorized,0.3285863995552063,Low similarity (best=0.329)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-29,JUBILEE MARKET PLACE NEW YORK NY,27.25,Uncategorized,0.31080034666899403,"Uncertain vote (share=0.311, best=1.000)"
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-29,JUBILEE MARKET PLACE NEW YORK NY,27.96,Uncategorized,0.31080034666899403,"Uncertain vote (share=0.311, best=1.000)"
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-30,PRET A MANGER US0035 NEW YORK NY,6.53,Uncategorized,0.3477887511253357,Low similarity (best=0.348)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-01,BH* BETTERHELP BETTERHELP.CO CA,65.0,Other Expense,0.7729636640009959,Top match: 'bh betterhelp betterhelp co ca' (sim=1.000)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-03,JUBILEE MARKET PLACE NEW YORK NY,7.99,Uncategorized,0.31080034666899403,"Uncertain vote (share=0.311, best=1.000)"
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-04,SQ *COFFEE PROJECT NEW YO New York NY,8.33,Uncategorized,0.4386516809463501,Low similarity (best=0.439)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-05,GOLD MINI MART NEW YORK NY,15.6,Uncategorized,0.24921578166101618,"Uncertain vote (share=0.249, best=0.503)"
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-05,JUBILEE MARKET PLACE NEW YORK NY,6.29,Uncategorized,0.31080034666899403,"Uncertain vote (share=0.311, best=1.000)"
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-07,CTLP*FAIRFIELD COUNTY NORWALK CT,3.5,Uncategorized,0.24959975481033325,Low similarity (best=0.250)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-08,BH* BETTERHELP BETTERHELP.CO CA,65.0,Other Expense,0.7729636640009959,Top match: 'bh betterhelp betterhelp co ca' (sim=1.000)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-10,SQ *MATTO JOHN ST. New York NY,13.14,Uncategorized,0.399550199508667,Low similarity (best=0.400)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-11,ID HOT YOGA FIDI 164-65591717 NY,2.5,Uncategorized,0.3605896830558777,Low similarity (best=0.361)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-12,PP*ANUM CRYSTAL NEW YORK NY,64.78,Uncategorized,0.3699781894683838,Low similarity (best=0.370)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-12,SQ *BLUESTONE LANE - 167 New York NY,67.75,Uncategorized,0.3429032926581218,"Uncertain vote (share=0.343, best=0.537)"
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-15,BH* BETTERHELP BETTERHELP.CO CA,65.0,Other Expense,0.7729636640009959,Top match: 'bh betterhelp betterhelp co ca' (sim=1.000)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-15,SQ *CAFE 'CITO New York NY,9.81,Uncategorized,0.47565776109695435,Low similarity (best=0.476)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-14,JUBILEE MARKET PLACE NEW YORK NY,10.47,Uncategorized,0.31080034666899403,"Uncertain vote (share=0.311, best=1.000)"
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-15,SUNAC NATURAL NEW YORK NY,26.62,Uncategorized,0.3809271454811096,Low similarity (best=0.381)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-16,SQ *VARIETY COFFEE ROASTE New York NY,7.53,Uncategorized,0.43138012290000916,Low similarity (best=0.431)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-16,CENTURY 21 NEW YORK NY,24.99,Uncategorized,0.4371484842018441,"Uncertain vote (share=0.437, best=0.568)"
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-17,SQ *VARIETY COFFEE ROASTE New York NY,10.25,Uncategorized,0.43138012290000916,Low similarity (best=0.431)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-20,TST* PARIS BAGUETTE - 103 NEW YORK NY,19.28,Uncategorized,0.3479534387588501,Low similarity (best=0.348)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-20,GOLD MINI MART NEW YORK NY,14.56,Uncategorized,0.24921578166101618,"Uncertain vote (share=0.249, best=0.503)"
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-21,SUNOCO 0509424800 SARATOGA SPRI NY,8.79,Uncategorized,0.3360624611377716,Low similarity (best=0.336)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-21,ADIRONDACK GUN AND RAN QUEENSBURY NY,504.4,Uncategorized,0.38101744651794434,Low similarity (best=0.381)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-20,JUBILEE MARKET PLACE NEW YORK NY,23.46,Uncategorized,0.31080034666899403,"Uncertain vote (share=0.311, best=1.000)"
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-22,BH* BETTERHELP BETTERHELP.CO CA,65.0,Other Expense,0.7729636640009959,Top match: 'bh betterhelp betterhelp co ca' (sim=1.000)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-24,SQ *HOODA HALAL Levittown NY,25.59,Uncategorized,0.3811816871166229,Low similarity (best=0.381)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-23,LAGRANGE VALERO LAGRANGEVILLE NY,3.23,Uncategorized,0.33668607473373413,Low similarity (best=0.337)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-25,JUBILEE MARKET PLACE NEW YORK NY,34.69,Uncategorized,0.31080034666899403,"Uncertain vote (share=0.311, best=1.000)"
eStmt_2025-12-05.pdf,2050-11-10,11/11 PAYMENT FROM CHK 7256 CONF#qxqwfz9ey 3019 4249,-176.01,Sales Income,0.8872561716673392,Top match: 'payment thank you-mobile' (sim=0.498)
eStmt_2025-12-05.pdf,2050-11-21,11/24 HARVEST MOON FARM MARKET NORTH SALEM NY 6315 4249,-16.26,Uncategorized,0.47430741786956787,Low similarity (best=0.474)
eStmt_2025-12-05.pdf,2050-11-28,11/28 PAYMENT FROM CHK 7256 CONF#M99020090714 1549 4249,-1007.32,Sales Income,0.6450472296984698,Top match: 'payment thank you-mobile' (sim=0.480)
eStmt_2025-12-05.pdf,2050-12-02,12/02 PAYMENT FROM CHK 7256 CONF#1dpm7fg06 2253 4249,-1008.78,Uncategorized,0.4162804186344147,Low similarity (best=0.416)
eStmt_2025-12-05.pdf,2050-11-05,11/06 AMAZON PRIME*TV1AY3NT3 Amzn.com/billWA 2333 4249,8.15,Uncategorized,0.43905484676361084,Low similarity (best=0.439)
eStmt_2025-12-05.pdf,2050-11-08,11/10 TST* GAI CHICKEN & RICE -646-476-6565 NY 4988 4249,37.09,Uncategorized,0.28117862343788147,Low similarity (best=0.281)
eStmt_2025-12-05.pdf,2050-11-09,11/10 CLUELY WWW.CLUELY.COGA 5878 4249,20.0,Uncategorized,0.25892341136932373,Low similarity (best=0.259)
eStmt_2025-12-05.pdf,2050-11-10,11/11 CHIPOTLE MEX GR ONLINE TEAM-BANKING@CA 0609 4249,12.36,Uncategorized,0.4012530446052551,Low similarity (best=0.401)
eStmt_2025-12-05.pdf,2050-11-11,11/12 NUMEROUS.AI NUMEROUS.AI DC 1477 4249,59.0,Uncategorized,0.25062885880470276,Low similarity (best=0.251)
eStmt_2025-12-05.pdf,2050-11-13,11/14 Amazon.com*B82EF9PV0 Amzn.com/billWA 6560 4249,23.48,Uncategorized,0.37004679441452026,Low similarity (best=0.370)
eStmt_2025-12-05.pdf,2050-11-13,11/14 TST* GAI CHICKEN & RICE -646-476-6565 NY 7138 4249,37.93,Uncategorized,0.28117862343788147,Low similarity (best=0.281)
